state_abbr,year,seat,class,type,dem_candidate,rep_candidate,incumbent,dem_pct,rep_pct,margin,dem_votes,rep_votes,vote_margin,total_votes,wikipedia_url
NC,2022,2,3,,Cheri Beasley,Ted Budd,None,47.27,50.50,3.23,1784049,1905786,121737,3773924,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_North_Carolina
NC,2020,1,2,,Cal Cunningham,Thom Tillis,R,46.94,48.69,1.75,2569965,2665598,95633,5474952,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_North_Carolina
NC,2016,2,3,,Deborah Ross,Richard Burr,R,45.37,51.06,5.70,2128165,2395376,267211,4691133,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_North_Carolina
NC,2014,1,2,,Kay Hagan,Thom Tillis,D,47.26,48.82,1.56,1377651,1423259,45608,2915281,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_North_Carolina
ND,2024,1,1,,Katrina Christiansen,Kevin Cramer,R,33.38,66.31,32.93,121602,241569,119967,364327,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_North_Dakota
ND,2022,2,3,,Katrina Christiansen,John Hoeven,R,24.98,56.41,31.43,59995,135474,75479,240140,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_North_Dakota
ND,2018,1,1,,Heidi Heitkamp,Kevin Cramer,D,44.27,55.11,10.84,144376,179720,35344,326138,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_North_Dakota
ND,2016,2,3,,Eliot Glassheim,John Hoeven,R,16.97,78.48,61.51,58116,268788,210672,342501,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_North_Dakota
ND,2012,1,1,,Heidi Heitkamp,Rick Berg,None,50.24,49.32,-0.91,161337,158401,-2936,321144,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_North_Dakota
NE,2024,1,1,,Dan Osborn (I),Deb Fischer,R,46.52,53.19,6.67,436493,499124,62631,938336,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Nebraska
NE,2024,2,2,Special,Preston Love Jr.,Pete Ricketts,R,37.42,62.58,25.16,349902,585103,235201,935005,https://en.wikipedia.org/wiki/2024_United_States_Senate_special_election_in_Nebraska
NE,2020,2,2,,Chris Janicek,Ben Sasse,R,24.43,62.74,38.31,227191,583507,356316,930012,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Nebraska
NE,2018,1,1,,Jane Raybould,Deb Fischer,R,38.62,57.69,19.06,269917,403151,133234,698883,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Nebraska
NE,2014,2,2,,Dave Domina,Ben Sasse,None,31.49,64.34,32.85,170127,347636,177509,540337,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Nebraska
NE,2012,1,1,,Bob Kerrey,Deb Fischer,None,42.23,57.77,15.55,332979,455593,122614,788572,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Nebraska
NH,2022,2,3,,Maggie Hassan,Don Bolduc,D,53.54,44.39,-9.15,332490,275631,-56859,620975,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_New_Hampshire
NH,2020,1,2,,Jeanne Shaheen,Corky Messner,D,56.64,40.99,-15.65,450778,326229,-124549,795914,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_New_Hampshire
NH,2016,2,3,,Maggie Hassan,Kelly Ayotte,R,47.98,47.84,-0.14,354649,353632,-1017,739140,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_New_Hampshire
NH,2014,1,2,,Jeanne Shaheen,Scott Brown,D,51.46,48.21,-3.24,251184,235347,-15837,488159,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_New_Hampshire
