state_name,year,type,dem_votes,rep_votes,oth_votes,total_votes,dem_seats_won,rep_seats_won,oth_seats_won,seats_up,total_seats,contests,uncontested,vote_missing_contests
Michigan,2022,House,2179190,2121890,0,4301080,56.0,54.0,0.0,110,110,110,1,0
Michigan,2022,Senate,2183727,2111775,10243,4305745,20.0,18.0,0.0,38,38,38,1,0
Minnesota,2016,House,1369702,1404376,7890,2781968,57.0,77.0,0.0,134,134,134,5,0
Minnesota,2016,Senate,1409775,1377128,19957,2806860,33.0,34.0,0.0,67,67,67,2,0
Minnesota,2018,House,1388938,1151135,8547,2548620,75.0,59.0,0.0,134,134,134,3,0
Minnesota,2020,House,1602023,1511548,16365,3129936,70.0,64.0,0.0,134,134,134,5,0
Minnesota,2020,Senate,1578278,1533021,50844,3162143,33.0,34.0,0.0,67,67,67,2,0
Minnesota,2022,House,1237520,1173659,8956,2420135,70.0,64.0,0.0,134,134,134,17,0
Minnesota,2022,Senate,1239682,1180254,9288,2429224,34.0,33.0,0.0,67,67,67,9,0
Mississippi,2015,House,298355,363488,5356,667199,50.0,72.0,0.0,122,122,122,84,0
Mississippi,2015,Senate,279886,371124,10716,661726,20.0,32.0,0.0,52,52,52,33,0
Mississippi,2019,House,294885,462511,19938,777334,46.0,75.0,1.0,122,122,122,98,0
Mississippi,2019,Senate,281733,487637,5717,775087,16.0,36.0,0.0,52,52,52,36,0
Missouri,2016,House,852546,1613146,64056,2529748,46.0,117.0,0.0,163,163,163,97,0
Missouri,2016,Senate,527527,686183,63563,1277273,6.0,11.0,0.0,17,34,17,8,0
Missouri,2018,House,1009522,1281248,14741,2305511,47.0,116.0,0.0,163,163,163,46,0
Missouri,2018,Senate,499592,713450,0,1213042,3.0,14.0,0.0,17,34,17,1,0
Missouri,2020,House,1016563,1732425,13998,2762986,49.0,114.0,0.0,163,163,163,83,0
Missouri,2020,Senate,598526,731386,40100,1370012,7.0,10.0,0.0,17,34,17,7,0
Missouri,2022,House,632717,1228410,12370,1873497,52.0,111.0,0.0,163,163,163,94,0
Missouri,2022,Senate,313588,682007,12728,1008323,3.0,14.0,0.0,17,34,17,6,0
Montana,2016,House,205981,258412,3414,467807,41.0,59.0,0.0,100,100,100,22,0
Montana,2016,Senate,93451,140131,623,234205,9.0,16.0,0.0,25,50,25,6,0
Montana,2018,House,207406,243145,11507,462058,42.0,58.0,0.0,100,100,100,34,0
Montana,2018,Senate,99828,128760,5758,234346,11.0,14.0,0.0,25,50,25,6,0
Montana,2020,House,212171,366429,6116,584716,33.0,67.0,0.0,100,100,100,36,0
Montana,2020,Senate,92138,180656,2706,275500,8.0,17.0,0.0,25,50,25,9,0
Montana,2022,House,151477,274897,2952,429326,32.0,68.0,0.0,100,100,100,32,0
Montana,2022,Senate,84414,147211,0,231625,9.0,18.0,0.0,27,50,27,7,0
Nevada,2016,House,461910,533887,19781,1015578,27.0,15.0,0.0,42,42,42,10,0
Nevada,2016,Senate,271523,217829,33642,522994,8.0,3.0,0.0,11,21,11,3,0
Nevada,2018,House,466416,417116,21776,905308,29.0,13.0,0.0,42,42,42,15,0
Nevada,2018,Senate,255036,241431,11415,507882,6.0,5.0,0.0,11,21,11,2,0
Nevada,2020,House,581197,648120,14069,1243386,26.0,16.0,0.0,42,42,42,14,0
Nevada,2020,Senate,321290,234367,14387,570044,6.0,4.0,0.0,10,21,10,4,0
Nevada,2022,House,397353,536798,18907,953058,28.0,14.0,0.0,42,42,42,7,0
Nevada,2022,Senate,201014,305930,0,506944,7.0,4.0,0.0,11,21,11,2,0
New Hampshire,2016,House,1029599,1154827,5213,2189639,176.0,224.0,0.0,400,400,204,32,0
New Hampshire,2016,Senate,342052,346474,0,688526,10.0,14.0,0.0,24,24,24,0,0
New Hampshire,2018,House,1015529,889214,10784,1915527,233.0,167.0,0.0,400,400,204,27,0
New Hampshire,2018,Senate,296608,253434,0,550042,14.0,10.0,0.0,24,24,24,1,0
New Hampshire,2020,House,1308278,1375161,3192,2686631,187.0,213.0,0.0,400,400,204,9,0
New Hampshire,2020,Senate,381223,384138,0,765361,10.0,14.0,0.0,24,24,24,0,0
New Hampshire,2022,Senate,299382,293299,0,592681,10.0,14.0,0.0,24,24,24,2,0
New Jersey,2015,House,1111320,958085,9414,2078819,52.0,28.0,0.0,80,80,40,1,0
New Jersey,2017,House,2266879,1613865,6263,3887007,54.0,26.0,0.0,80,80,40,0,0
New Jersey,2017,Senate,1177295,810543,0,1987838,25.0,15.0,0.0,40,40,40,3,0
New Jersey,2019,House,1644511,1312732,5263,2962506,52.0,28.0,0.0,80,80,40,0,0
New Jersey,2021,House,2521259,2351564,0,4872823,46.0,34.0,0.0,80,80,40,2,0
New Jersey,2021,Senate,1296465,1199006,0,2495471,24.0,16.0,0.0,40,40,40,2,0
New Mexico,2016,House,365713,304989,4629,675331,38.0,32.0,0.0,70,70,70,43,0
New Mexico,2016,Senate,399912,271028,0,670940,26.0,16.0,0.0,42,42,42,27,0
New Mexico,2018,House,363160,245820,17813,626793,46.0,24.0,0.0,70,70,70,38,0
New Mexico,2020,House,437291,393801,12114,843206,44.0,25.0,1.0,70,70,70,23,0
New Mexico,2020,Senate,446213,413289,0,859502,27.0,15.0,0.0,42,42,42,9,0
New Mexico,2022,House,349965,276510,11161,637636,45.0,25.0,0.0,70,70,70,36,0
New York,2016,House,4184767,2366157,60228,6611152,107.0,43.0,0.0,150,150,150,67,0
New York,2016,Senate,3759304,3002778,37437,6799519,32.0,31.0,0.0,63,63,63,23,0
New York,2018,House,3705353,1867251,42373,5614977,107.0,43.0,0.0,150,150,150,60,0
New York,2018,Senate,3399074,2270510,105642,5775226,39.0,23.0,1.0,63,63,63,23,0
New York,2020,House,4787610,2793454,74698,7655762,106.0,43.0,1.0,150,150,150,54,0
New York,2020,Senate,4751768,3007411,32170,7791349,43.0,20.0,0.0,63,63,63,22,0
New York,2022,House,2905746,2425819,26193,5357758,102.0,48.0,0.0,150,150,150,50,0
New York,2022,Senate,2920112,2487386,37156,5444654,42.0,21.0,0.0,63,63,63,24,0
North Carolina,2016,House,1929779,2150228,44366,4124373,46.0,74.0,0.0,120,120,120,60,0
North Carolina,2016,Senate,1823540,2310287,61731,4195558,15.0,35.0,0.0,50,50,50,18,0
North Carolina,2018,House,1866432,1779584,24508,3670524,55.0,65.0,0.0,120,120,120,3,0
North Carolina,2018,Senate,1856678,1816699,0,3673377,21.0,29.0,0.0,50,50,50,0,0
North Carolina,2020,House,2583773,2632672,26579,5243024,51.0,69.0,0.0,120,120,120,13,0
North Carolina,2020,Senate,2590590,2682641,32295,5305526,22.0,28.0,0.0,50,50,50,1,0
North Carolina,2022,House,1463299,1985327,8108,3456734,49.0,71.0,0.0,120,120,120,39,0
North Carolina,2022,Senate,1401741,2030600,0,3432341,20.0,30.0,0.0,50,50,50,15,0
North Dakota,2016,House,100968,181768,0,282736,5.0,43.0,0.0,48,94,24,2,0
North Dakota,2016,Senate,50867,107769,2072,160708,4.0,19.0,0.0,23,47,23,4,0
North Dakota,2018,House,92187,177390,0,269577,11.0,37.0,0.0,48,94,24,4,0
North Dakota,2018,Senate,57924,100136,1392,159452,6.0,18.0,0.0,24,47,24,4,0
North Dakota,2020,House,86707,209352,971,297030,3.0,43.0,0.0,46,94,23,3,0
North Dakota,2020,Senate,43774,122100,0,165874,1.0,22.0,0.0,23,47,23,7,0
North Dakota,2022,House,51959,196765,3722,252446,11.0,55.0,0.0,66,94,35,16,0
North Dakota,2022,Senate,27285,118180,3312,148777,4.0,28.0,0.0,32,47,32,20,0
Ohio,2016,House,1961329,2836624,47947,4845900,33.0,66.0,0.0,99,99,99,27,0
Ohio,2016,Senate,821822,1640498,0,2462320,2.0,14.0,0.0,16,33,16,3,0
Ohio,2018,House,2055572,2201669,10768,4268009,38.0,61.0,0.0,99,99,99,9,0
Ohio,2018,Senate,1143327,1028779,0,2172106,7.0,10.0,0.0,17,33,17,0,0
Ohio,2020,House,2286656,3140083,35053,5461792,35.0,64.0,0.0,99,99,99,23,0
