precinct	office	party_detailed	party_simplified	mode	votes	county_name	county_fips	jurisdiction_name	jurisdiction_fips	candidate	district	dataverse	year	stage	state	special	writein	state_po	state_fips	state_cen	state_ic	date	readme_check	magnitude
"SANBORNTON"	"GOVERNOR"	"LIBERTARIAN"	"LIBERTARIAN"	"TOTAL"	18	"BELKNAP"	33001	"SANBORNTON"	3300167300	"KELLY HALLDORSON"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"TILTON"	"GOVERNOR"	"LIBERTARIAN"	"LIBERTARIAN"	"TOTAL"	13	"BELKNAP"	33001	"TILTON"	3300177060	"KELLY HALLDORSON"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"ALTON"	"GOVERNOR"	""	""	"TOTAL"	0	"BELKNAP"	33001	"ALTON"	3300101060	"SCATTER"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"TRUE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"BARNSTEAD"	"GOVERNOR"	""	""	"TOTAL"	8	"BELKNAP"	33001	"BARNSTEAD"	3300103220	"SCATTER"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"TRUE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"BELMONT"	"GOVERNOR"	""	""	"TOTAL"	12	"BELKNAP"	33001	"BELMONT"	3300104740	"SCATTER"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"TRUE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"CENTER HARBOR"	"GOVERNOR"	""	""	"TOTAL"	2	"BELKNAP"	33001	"CENTER HARBOR"	3300110660	"SCATTER"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"TRUE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"GILFORD"	"GOVERNOR"	""	""	"TOTAL"	9	"BELKNAP"	33001	"GILFORD"	3300128740	"SCATTER"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"TRUE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"GILMANTON"	"GOVERNOR"	""	""	"TOTAL"	13	"BELKNAP"	33001	"GILMANTON"	3300128980	"SCATTER"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"TRUE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"LACONIA WARD 1"	"GOVERNOR"	""	""	"TOTAL"	5	"BELKNAP"	33001	"LACONIA"	3300140180	"SCATTER"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"TRUE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"LACONIA WARD 2"	"GOVERNOR"	""	""	"TOTAL"	5	"BELKNAP"	33001	"LACONIA"	3300140180	"SCATTER"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"TRUE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"LACONIA WARD 3"	"GOVERNOR"	""	""	"TOTAL"	2	"BELKNAP"	33001	"LACONIA"	3300140180	"SCATTER"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"TRUE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"LACONIA WARD 4"	"GOVERNOR"	""	""	"TOTAL"	2	"BELKNAP"	33001	"LACONIA"	3300140180	"SCATTER"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"TRUE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"LACONIA WARD 5"	"GOVERNOR"	""	""	"TOTAL"	4	"BELKNAP"	33001	"LACONIA"	3300140180	"SCATTER"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"TRUE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"LACONIA WARD 6"	"GOVERNOR"	""	""	"TOTAL"	14	"BELKNAP"	33001	"LACONIA"	3300140180	"SCATTER"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"TRUE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"MEREDITH"	"GOVERNOR"	""	""	"TOTAL"	13	"BELKNAP"	33001	"MEREDITH"	3300147140	"SCATTER"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"TRUE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"NEW HAMPTON"	"GOVERNOR"	""	""	"TOTAL"	8	"BELKNAP"	33001	"NEW HAMPTON"	3300151540	"SCATTER"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"TRUE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"SANBORNTON"	"GOVERNOR"	""	""	"TOTAL"	6	"BELKNAP"	33001	"SANBORNTON"	3300167300	"SCATTER"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"TRUE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"TILTON"	"GOVERNOR"	""	""	"TOTAL"	3	"BELKNAP"	33001	"TILTON"	3300177060	"SCATTER"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"TRUE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"ALBANY"	"GOVERNOR"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	193	"CARROLL"	33003	"ALBANY"	3300300420	"CHRIS SUNUNU"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"BARTLETT"	"GOVERNOR"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	895	"CARROLL"	33003	"BARTLETT"	3300303700	"CHRIS SUNUNU"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"BROOKFIELD"	"GOVERNOR"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	321	"CARROLL"	33003	"BROOKFIELD"	3300307940	"CHRIS SUNUNU"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
"CHATHAM"	"GOVERNOR"	"REPUBLICAN"	"REPUBLICAN"	"TOTAL"	122	"CARROLL"	33003	"CHATHAM"	3300311780	"CHRIS SUNUNU"		"STATE"	2022	"GEN"	"NEW HAMPSHIRE"	"FALSE"	"FALSE"	"NH"	33	12	4	2022-11-08	"FALSE"	1
